,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1527,County Reporter ,50000.00,No,Radio station,School board,Southeast Florida,Florida,No,3.5,3.5,3.5,26,Female,White,No,FL,,Reporter
1528,Digital Manager,50000.00,Yes,Joint licensee,Community/independent nonprofit,Harrisburg,Pennsylvania,No,3,3,3,32,Female,White,No,PA,95.8,Manager
1529,Investigative Reporter,50000.00,Yes,Radio station,Community/independent nonprofit,Indianapolis,Indiana,No,3,3,3,31,Female,White,No,IN,90.2,Reporter
1530,Production Coordinator,50000.00,Yes,Radio station,College/university,Los Angeles,California,No,3,3,3,26,Non-binary / third gender,Asian,No,CA,140.6,Manager
1531,Communications Specialist,50000.00,Yes,Radio station,College/university,Salt Lake City,Utah,No,1,1,2,27,Female,Biracial/Multiracial,No,UT,105.9,Specialist
1532,Digital Producer,50000.00,No,Radio station,Community/independent nonprofit,Vermont,Vermont,No,1,1,2,28,Female,White,No,VT,,Producer
1533,News Assistant,50000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,1,1,1,24,Male,Hispanic/Latino,Yes,DC,,
1534,Director of Finance and Membership,49900.00,No,Radio station,College/university,Rock Island,Illinois,No,4,25,25,48,Female,White,Yes,IL,,Director
1535,Operations Specialist,49879.00,No,Radio station,Community/independent nonprofit,Colchester,Vermont,No,14,14,22,52,Female,White,No,VT,,Specialist
1536,Production Manager,49816.00,No,TV station,Community/independent nonprofit,Tampa,Florida,No,23,23,23,65,Female,White,No,FL,101.4,Manager
1537,Producer/Board Operator ,49500.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,2,3,3,35,Male,White,No,CO,112.1,Producer
1538,Traffic Operations Manager,49000.00,Yes,TV station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,20,26,26,54,Female,White,No,PA,93.1,Manager
1539,Production Coordinator,49000.00,No,Radio station,College/university,Salt Lake City,Utah,No,2,3,8,28,Male,Biracial/Multiracial,No,UT,105.9,Manager
1540,Membership Coordinator,49000.00,Yes,Radio station,College/university,Fairfield,Connecticut,No,7,7,7,45,Female,White,Yes,CT,,Manager
1541,Reporter,49000.00,No,Joint licensee,College/university,Houston,Texas,No,1,1,6,32,Female,White,No,TX,95.8,Reporter
1542,Production and Programming Assistant,49000.00,Yes,Radio station,Community/independent nonprofit,Newark,New Jersey,Yes,3,3,5,27,Female,White,No,NJ,,
1543,Engagement Program Manager,49000.00,Yes,TV station,College/university,Durham,North Carolina,No,2.5,4.5,4.5,31,Female,Black or African American,No,NC,99.8,Manager
1544,Corporate Development Manager,48972.00,Yes,Radio station,College/university,nan,,No,4,4,4,58,Female,White,No,,,Manager
1545,Media Production Director II,48911.00,No,Radio station,College/university,Kansas City,Missouri,No,13.5,10,14,65,Female,White,Yes,MO,91.6,Director
1546,Assistant News Director (Radio/FM),48750.00,Yes,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,2.5,7,9,34,Male,White,Yes,NY,97.3,Director
1547,Senior Broadcast Technician ,48700.00,Yes,Joint licensee,College/university,Fort Myers,Florida,No,19,25,25,42,Male,White,Yes,FL,101.5,
1548,Publication Editor,48700.00,No,TV station,,Madison,Wisconsin,No,1,1,1,32,Female,White,No,WI,99.5,Editor
1549,Radio Host/Producer/Programmer,48500.00,Yes,Joint licensee,School board,Norfolk,Virginia,No,14,17,21,41,Male,American Indian or Alaska Native,Yes,VA,,Host
1550,Coordinator of Community Engagement,48500.00,No,Radio station,Community/independent nonprofit,Colchester,Vermont,No,24,24,25,64,Female,White,No,VT,,Manager
1551,Operations Manager,48400.00,No,Radio station,College/university,Oklahoma City,Oklahoma,No,7,7,8,41,Male,White,No,OK,87.3,Manager
1552,Membership Associate,48000.00,Yes,Joint licensee,Community/independent nonprofit,Denver,Colorado,No,1.5,1.5,1.5,50,Male,White,Yes,CO,112.1,
1553,Operations Manager/Radio Producer,48000.00,Yes,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,18,18,18,46,Male,White,No,OH,87.5,Producer
1554,Membership Director,48000.00,No,Radio station,College/university,Lawrence,Kansas,No,5,14,14,39,Female,White,Yes,KS,91.6,Director
1555,Manager of Educational Training and Family Engagement ,48000.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,6,10,10,36,Female,White,No,NY,96.6,Manager
1556,Operations Coordinator,48000.00,No,Joint licensee,College/university,Gainesville,Florida,No,7,10,7,58,Male,White,No,FL,97.3,Manager
1557,Assistant Membership Manager,48000.00,Yes,Radio station,College/university,Philadelphia,Pennsylvania,Yes,2,5,5,31,Male,Hispanic/Latino,No,PA,103.4,Manager
1558,Director of Development and Marketing,48000.00,No,Radio station,Community/independent nonprofit,Minneapolis,Minnesota,No,0.5,0.5,0.5,28,Female,White,No,MN,105.4,Marketing
1559,Morning Edition Host,47000.00,No,Radio station,Community/independent nonprofit,Las Vegas,Nevada,No,6,6,11,37,Female,White,No,NV,100.7,Host
1560,Associate Producer,47800.00,No,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,Yes,2.4,2.4,2.4,49,Female,White,No,MN,,Producer
