,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
986,Senior Director of Research,150000.00,No,National network/organization ,,Arlington,Virginia,No,2,15,15,46,Female,Hispanic/Latino,No,VA,,Director
987,Director of Project Finance and Grants,150000.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,8,8,8,49,Male,Asian,No,MA,132.6,Director
988,Director of Development,150000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,7,7,7,58,Female,Other,No,MO,89.6,Director
989,Director of Grants ,150000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,No,6,6,6,56,Male,White,No,CA,178.6,Director
990,"Executive Director, Education",150000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,No,0,6,6,45,Female,White,No,CA,178.6,Director
991,VP of Revenue,149500.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,2,5,5,43,Female,White,No,MN,,Executive Officer
992,Executive Director,145000.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,12,36,38,61,Female,White,No,MA,132.6,Director
993,Senior Director,144000.00,No,National network/organization ,,Arlington,District of Columbia,No,18,8,8,39,Female,,No,DC,,Director
994,"Senior Director, Video ",143000.00,No,National network/organization ,,Arlington,Virginia,No,2,13,14,40,Female,Asian,No,VA,,Video Journalist
995,"Assistant GM, Content",140000.00,No,Joint licensee,College/university,San Diego,California,No,1,25,30,54,Male,White,Yes,CA,136.2,
996,Station Relations Consultant,140000.00,No,National network/organization ,,nan,District of Columbia,No,20,20,30,53,Female,White,No,DC,,
997,Lead Developer,140000.00,Yes,Radio station,College/university,Boston,Massachusetts,No,2,6,11,50,Male,White,No,MA,132.6,Engineer
998,Senior Developer,140000.00,Yes,Radio station,College/university,Boston,Massachusetts,No,11,6,11,50,Male,White,Yes,MA,132.6,Engineer
999,Director of Product,140000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,No,3,1.5,1.5,32,Female,Asian,No,CA,178.6,Director
1000,Correspondent ,140000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,8,19,30,55,Male,White,Yes,DC,,Reporter
1001,General Manager,140000.00,No,Joint licensee,College/university,Mount Pleasant,Michigan,No,2,5,19,53,Male,White,No,MI,86.8,Manager
1002,Executive Producer,140000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,10,10,11,34,Female,White,No,NY,128,Producer
1003,Senior Director ,140000.00,Yes,National network/organization ,,"Washington, D.C.",Virginia,No,5,5,10,48,Female,Biracial/Multiracial,No,VA,,Director
1004,Associate Director,140000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,9,9,39,Female,White,No,DC,,Director
1005,Correspondent,138000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,9,18,30,53,Male,White,No,DC,,Reporter
1006,Senior Correspondent,138000.00,No,National network/organization ,,Los Angeles,California,No,3,19,20,46,Female,White,No,CA,140.6,Reporter
1007,Senior Product Designer,135000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,20,4,4,36,Female,Black or African American,No,NY,128,Designer
1008,Director Human Resources,135000.00,No,Radio station,Community/independent nonprofit,Sacramento,California,No,1,1,1,48,Female,Hispanic/Latino,No,CA,120.3,HR
1009,Chief Technology Officer,134000.00,Yes,Joint licensee,Community/independent nonprofit,Anchorage,Alaska,No,11,11,30,75,Male,White,No,AK,110.7,Executive Officer
1010,Research Director,134000.00,No,National network/organization ,,"Washington, D.C.",Virginia,No,12,12,12,56,Male,White,No,VA,,Director
1011,Chief Development Officer,133000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,3,3,3,45,Male,Black or African American,No,IN,90.2,Executive Officer
1012,Senior Product Manager,132000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,5,10,10,50,Female,White,No,DC,,Manager
1013,"Senior VP, Technology/Operations",132000.00,Yes,TV station,Community/independent nonprofit,Miami,Florida,No,8,32,32,54,Male,White,No,FL,110.1,Executive Officer
1014,Associate General Manager/CFO,130000.00,No,TV station,Community/independent nonprofit,Sacramento,California,No,5,5,5,51,Female,White,No,CA,120.3,Manager
1015,CFO,130975.00,No,TV station,Community/independent nonprofit,Tampa,Florida,No,6,6,6,58,Female,White,No,FL,101.4,
1016,Director of Human Resources,130000.00,No,National network/organization ,,San Francisco,California,No,13,1,1,47,Female,White,No,CA,178.6,HR
1017,Chief Content Officer,130000.00,No,TV station,State,Lexington,Kentucky,No,2,2,33,55,Female,White,No,KY,91.1,Executive Officer
1018,"Senior VP, Radio",130000.00,No,Joint licensee,Community/independent nonprofit,Allentown,Pennsylvania,No,2,2,30,58,Female,White,No,PA,98.9,Executive Officer
1019,"Associate Director, Business Support",130000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,18,18,18,58,Male,White,No,WA,124.6,Director
1020,Reporter,130000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,2,3,3,32,Female,Black or African American,No,DC,,Reporter
1021,Chief Content Officer ,128000.00,No,Joint licensee,Community/independent nonprofit,Norfolk,Virginia,No,10,23,23,49,Female,White,No,VA,,Executive Officer
1022,News Director,128000.00,No,Joint licensee,College/university,San Diego,California,No,11,11,27,49,Female,White,No,CA,136.2,Director
1023,Executive Director of Advancement,127500.00,Yes,Radio station,Community/independent nonprofit,Charlotte,North Carolina,No,6,6,20,42,Prefer not to say,Other,No,NC,97.9,Director
1024,Chief Innovation Officer,126000.00,Yes,Joint licensee,College/university,Lincoln,Nebraska,No,5,5,27,47,Male,White,No,NE,94.7,Executive Officer
1025,Underwriting ,125000.00,No,Joint licensee,Community/independent nonprofit,Louisville,Kentucky,No,35,23,23,61,Male,White,No,KY,91.6,
1026,Senior Director of Development,125000.00,No,Radio station,College/university,Tampa,Florida,No,6,9,15,49,Male,White,No,FL,101.4,Director
1027,Senior Director,125000.00,Yes,National network/organization ,,Arlington,Virginia,No,2,8,8,42,Female,White,No,VA,,Director
1028,Senior Manager Systems Engineering,125000.00,No,National network/organization ,,Arlington,Virginia,No,5,7,7,33,Male,White,No,VA,,Engineer
1029,Director of Development,125000.00,No,Radio station,College/university,"Washington, D.C.",District of Columbia,No,4,4,4,38,Female,White,No,DC,,Director
1030,News Editor,125000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,10,20,20,54,Female,White,No,NY,128,Editor
1031,VP Operations ,125000.00,Yes,TV station,Community/independent nonprofit,nan,Michigan,No,3,14,15,35,Female,White,No,MI,,Executive Officer
1032,Senior Editor,125000.00,Yes,National network/organization ,,Boston,Massachusetts,Yes,6,6,6,42,Male,White,No,MA,132.6,Editor
1033,"Associate General Manager, Production ",124000.00,No,TV station,Community/independent nonprofit,Sacramento,California,No,12,16,16,66,Male,White,No,CA,120.3,Manager
1034,Content Director,123000.00,Yes,Radio station,College/university,Chapel Hill,North Carolina,No,1.5,1.5,15,41,Female,Black or African American,No,NC,,Director
1035,Director of Engineering,123000.00,,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,3,10,15,42,Male,White,Yes,OR,116.5,Engineer
1036,Senior VP,121000.00,Yes,TV station,Community/independent nonprofit,nan,Texas,No,3,15,15,43,Female,White,No,TX,,Executive Officer
1037,"Senior Manager, Corporate Sponsorship",120000.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,15,15,15,60,Female,White,No,PA,103.4,Manager
1038,Director,120000.00,Yes,National network/organization ,,nan,,No,,,,,Male,White,No,,,Director
1039,Chief Content Officer,120000.00,No,Joint licensee,College/university,Lincoln,Nebraska,No,5,29,34,56,Female,White,No,NE,94.7,Executive Officer
1040,Director of Engineering,120000.00,Yes,TV station,Community/independent nonprofit,Prefer not to answer,California,No,2,18,29,50,Male,White,No,CA,,Engineer
1041,Director of Member Engagement,120000.00,No,Radio station,College/university,Sacramento,California,No,14,19,19,47,Female,White,Yes,CA,120.3,Director
1042,VP ,120000.00,Yes,Joint licensee,School board,Atlanta,Georgia,No,3,3,15,47,Female,Black or African American,Yes,GA,100.3,Executive Officer
1043,Director of Programming,120000.00,,TV station,State,"Washington, D.C.",Maryland,No,,5,5,55,Female,White,No,MD,,Director
1044,VP and Chief Impact Officer ,120000.00,No,TV station,Community/independent nonprofit,nan,Missouri,No,1,5,5,38,Female,Biracial/Multiracial,No,MO,,Executive Officer
1045,Program Director,120000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,35,2,4,64,Male,White,No,CO,112.1,Director
1046,Senior Correspondent ,119000.00,No,National network/organization ,,Saint Paul,Minnesota,Yes,6,15,26,50,Female,White,No,MN,,Reporter
1047,Digital Director,119000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,4,4,4,47,Female,Asian,No,CO,112.1,Director
1048,Senior Software Engineer,118800.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,1,4,4,29,Male,White,No,DC,,Engineer
1049,Classical Program Director,118500.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,15,30,35,54,Female,White,No,CO,112.1,Director
1050,Corporate Development Sales Manager,118000.00,Yes,Joint licensee,College/university,San Diego,California,No,2.3,2.3,2.3,,Prefer not to say,White,No,CA,136.2,Manager
1051,Creative Director,117500.00,Yes,TV station,Community/independent nonprofit,Arlington,Virginia,No,1,1,1,33,Male,White,No,VA,,Director
1052,"Director, Design and On-Air Promotions",117000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,5,15,15,44,Female,White,No,NY,128,Director
1053,Supervising Producer,115000.00,Yes,National network/organization ,,Boston,Massachusetts,No,2,2,20,46,Female,White,No,MA,132.6,Producer
1054,News Host,115000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,Yes,29,29,29,60,Female,White,No,NY,128,Host
1055,CEO and General Manager,115000.00,Yes,Radio station,Community/independent nonprofit,St. Louis,Missouri,No,2,2,26,51,Male,American Indian or Alaska Native,Yes,MO,89.6,Manager
1056,News Director,115000.00,No,Radio station,School board,San Francisco,California,No,6,17,23,47,Male,White,No,CA,178.6,Director
1057,Director of Communications,115000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,1,3.5,3.5,34,Male,White,No,NY,128,Director
1058,Associate Counsel,115000.00,Yes,TV station,Community/independent nonprofit,New York,New York,No,2,2,2,46,Female,White,No,NY,128,
1059,Director of Content and Initiatives,115000.00,Yes,National network/organization ,,San Francisco,California,No,2,2,2,42,Female,Black or African American,No,CA,178.6,Director
1060,Data Journalist,115000.00,No,Radio station,,San Francisco,California,No,1,1,1,33,Male,White,Yes,CA,178.6,Data Journalist
1061,News Director,114862.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,10,21,30,52,Male,White,No,NC,,Director
1062,Managing Editor,114400.00,No,Radio station,College/university,Boise,Idaho,No,1,1,25,62,Female,White,Yes,ID,,Editor
1063,Membership Director,113105.00,No,Radio station,College/university,Bronx,New York,No,2.5,2.5,14,50,Female,White,Yes,NY,,Director
1064,Director of Content,112000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,6,6,25,45,Male,Hispanic/Latino,Yes,WA,124.6,Director
1065,Director and General Manager,111000.00,No,TV station,College/university,Bozeman,Montana,No,3.5,27,29,55,Male,White,Yes,MT,125.3,Manager
1066,Chief Development Officer,111000.00,No,Radio station,College/university,Madison,Wisconsin,No,3,3,11,54,Female,White,No,WI,99.5,Executive Officer
1067,Director of Digital,111000.00,Yes,Joint licensee,College/university,San Diego,California,No,10,10,10,,Male,White,Yes,CA,136.2,Director
1068,Co-Executive Director,110000.00,No,National network/organization ,,Los Angeles,California,No,1,8,8,44,Female,White,No,CA,140.6,Director
1069,Director ,110000.00,Yes,National network/organization ,,Arlington,Virginia,No,2,7,7,35,Prefer not to say,White,No,VA,,Director
1070,President and CEO,110000.00,Yes,TV station,Community/independent nonprofit,Plattsburgh,New York,No,4.5,6,6,58,Male,White,No,NY,93.7,Executive Officer
1071,Senior Digital Analyst,110000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,0,0,0,26,Female,Asian,No,DC,,
1072,Director,110000.00,No,Radio station,Community/independent nonprofit,nan,,No,3,26,26,,Female,White,No,,,Director
1073,Senior Digital Producer,110000.00,No,TV station,Community/independent nonprofit,Boston,Massachusetts,No,6,20,20,,Female,White,No,MA,132.6,Producer
1074,Technical Director,110000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,11,14,14,39,Male,White,No,NY,128,Director
1075,Chief Technology Officer,110000.00,Yes,Radio station,Community/independent nonprofit,Indianapolis,Indiana,No,10,12,12,52,Male,White,No,IN,90.2,Executive Officer
1076,Digital Trainer,110000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,2,2,46,Female,White,No,DC,,
1077,Chief Engineer,109000.00,No,TV station,State,Owings Mills,Maryland,No,1,16,16,41,Male,White,No,MD,,Engineer
1078,Software Engineer,108000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,9,9,9,58,Female,White,No,DC,,Engineer
1079,Major and Planned Gifts Manager,108000.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,17,25,31,51,Female,White,No,NC,,Manager
1080,"Senior Director, Production and Creative Services",108000.00,Yes,TV station,Community/independent nonprofit,Arlington,Virginia,No,8,8,23,63,Male,White,No,VA,,Director
1081,Producer,108000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,5,9,11,31,Female,White,No,DC,,Producer
1082,Major Gifts Officer,107800.00,No,Joint licensee,Community/independent nonprofit,New York,New York,No,6,6,6,43,Female,Asian,No,NY,128,Executive Officer
1083,Associate Director of Membership,106000.00,No,Radio station,College/university,Boston,Massachusetts,No,6,6,6,38,Female,White,No,MA,132.6,Director
1084,Producer,106808.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,Yes,21,22,42,63,Female,White,No,CA,178.6,Producer
1085,Executive Director,106000.00,No,National network/organization ,,Fresno,California,No,41,41,41,72,Male,Hispanic/Latino,Yes,CA,105.9,Director
1086,Director of Development,106000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,6,15,15,38,Female,White,No,WA,124.6,Director
1087,International Digital Editor,106000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,3,3,6,42,Male,White,No,DC,,Editor
1088,Chief Development Officer,106000.00,No,TV station,College/university,Madison,Wisconsin,No,5,5,5,50+,Male,White,No,WI,99.5,Executive Officer
1089,VP of Development and Marketing,105000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,3,3,3,35,Female,White,No,KY,91.6,Marketing
1090,Account Manager,105000.00,,Joint licensee,College/university,Houston,Texas,No,0.5,0.5,0.5,51,Male,White,No,TX,95.8,Manager
1091,Senior Director of Engineering,105000.00,Yes,Joint licensee,College/university,East Lansing,Michigan,Yes,35,29,37,69,Male,White,No,MI,,Engineer
1092,Classical Host/Assistant Program Director,105000.00,No,Radio station,Community/independent nonprofit,Centennial,Colorado,No,10,24,31,54,Female,White,No,CO,,Host
1093,Senior Director of Programming ,105000.00,No,TV station,Community/independent nonprofit,"Washington, D.C.",District of Columbia,No,5,20,22,46,Male,White,No,DC,,Director
1094,Producer,105000.00,,National network/organization ,,New York,New York,No,5,5,13.5,,Female,White,No,NY,128,Producer
1095,Digital Content Producer,105000.00,Yes,Radio station,College/university,Los Angeles,California,No,11,11,11,34,Male,Other,No,CA,140.6,Producer
1096,CFO,105000.00,No,TV station,School board,Las Vegas,Nevada,No,10,10,10,45,Male,White,No,NV,100.7,
1097,Executive Producer,105000.00,Yes,Joint licensee,Community/independent nonprofit,Denver,Colorado,No,0.3,10,10,48,Female,White,Yes,CO,112.1,Producer
1098,Junior Mobile Engineer,105000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,1,3,4,32,Female,Hispanic/Latino,No,DC,,Engineer
1099,"Director, Audience Development",105000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,3,3,3,35,Female,White,No,NY,128,Director
1100,Audience Insights Manager,105000.00,No,National network/organization ,,Saint Paul,Minnesota,No,1,1,1,36,Female,White,Yes,MN,,Manager
1101,Major Gifts Director,105000.00,No,Joint licensee,College/university,San Diego,California,No,1,1,1,43,Male,White,No,CA,136.2,Director
1102,Host and Executive Producer,104000.00,No,Radio station,Community/independent nonprofit,nan,Vermont,No,14,14,19,42,Female,White,No,VT,,Host
1103,Membership Director,103000.00,No,Radio station,School board,Seattle,Washington,No,5,5,25,,Male,White,Yes,WA,124.6,Director
1104,Associate General Manager of Content,103000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,3,3,30,56,Female,White,No,FL,101.5,Manager
1105,General Manager,103000.00,No,Joint licensee,College/university,Springfield,Missouri,No,1,17,19,,Female,White,No,MO,86.7,Manager
1106,News Director,103000.00,No,Joint licensee,Community/independent nonprofit,Portland,Maine,No,3,3,17,42,Male,White,No,ME,113,Director
1107,Director of Audience Engagement,103000.00,,Joint licensee,Community/independent nonprofit,New York,New York,No,3,16,16,42,Female,Hispanic/Latino,No,NY,128,Director
1108,Controller,102000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,4,4,4,44,Female,White,Yes,MO,89.6,
1109,Director of Administration,102000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,3,3,3,57,Male,White,No,WA,124.6,Director
1110,Software Engineer,102000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,3,2.5,2.5,28,Female,White,No,DC,,Engineer
1111,Digital Manager,101846.00,No,TV station,Community/independent nonprofit,nan,,No,2,5,5,40,Female,White,No,,,Manager
1112,Director Development Operations,101000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,7,7,7,42,Female,White,No,OR,116.5,Director
1113,Senior Editor,100700.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,2,2,18,49,Female,Biracial/Multiracial,No,MN,,Editor
1114,Senior Business Manager/Coordinating Producer,100500.00,Yes,National network/organization ,,Boston,Massachusetts,No,9,9,9,48,Male,White,No,MA,132.6,Producer
1115,Senior Director Membership and Viewer Services,100000.00,No,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,5,31,31,,Female,White,No,MN,,Director
1116,Producer,100000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,6,6,11,33,Female,Asian,Yes,DC,,Producer
1117,Director of Institutional Giving,100000.00,Yes,National network/organization ,,New York,New York,No,12,9,9,41,Female,White,No,NY,128,Director
1118,Corporate Support Representative,100000.00,No,Joint licensee,Community/independent nonprofit,Troy,New York,No,4,4,4,61,Female,White,No,NY,,
1119,Foundation CEO,100000.00,No,TV station,State,Conway,Arkansas,No,1,1,1,57,Female,White,No,AR,,Executive Officer
1120,"Senior Manager, Training",100500.00,No,National network/organization ,,Brooklyn,New York,No,1,2.5,8,30,Female,Asian,Yes,NY,,Manager
1121,Director of Production Operations,100000.00,Yes,Joint licensee,College/university,Houston,Texas,No,4,26,27,52,Male,Hispanic/Latino,No,TX,95.8,Director
1122,Post Production Supervisor,100000.00,Yes,TV station,Community/independent nonprofit,Chicago,Illinois,Yes,8,26,37,57,Male,White,Yes,IL,100.1,Manager
1123,Coordinator,100000.00,No,TV station,School board,Las Vegas,Nevada,Yes,10,20,20,40,Female,White,No,NV,100.7,Manager
1124,"Director, Digital Products",100000.00,Yes,Radio station,College/university,Seattle,Washington,No,18,15,15,43,Female,White,No,WA,124.6,Director
1125,Senior Producer,100000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,4,10,10,44,Female,White,No,NY,128,Producer
1126,Editor,100000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,2,8,9,49,Female,White,No,NY,128,Editor
1127,Chief Strategy Officer,100000.00,No,Radio station,Community/independent nonprofit,Newark,New Jersey,No,1,1,8,52,Male,White,No,NJ,,Executive Officer
1128,Director,100000.00,Yes,National network/organization ,,Boston,Massachusetts,No,5,8,8,42,Male,White,No,MA,132.6,Director
1129,Product Manager,100000.00,No,National network/organization ,,Arlington,Virginia,No,1,5,5,55,Female,White,No,VA,,Manager
1130,Station Manager/Chief Operating Officer,100000.00,No,Joint licensee,College/university,Tucson,Arizona,No,1,5,5,61,Male,Black or African American,Yes,AZ,97.7,Manager
1131,Director,100000.00,No,Joint licensee,College/university,San Diego,California,No,4,4,4,,,,No,CA,136.2,Director
1132,Director of Major Gifts,100000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,3,3,3,59,Female,White,No,NH,108.3,Director
1133,Chief People Officer,100000.00,Yes,Joint licensee,College/university,nan,,No,2,2,2,29,Male,White,Yes,,,Executive Officer
1134,"Executive Producer, News",99500.00,No,Joint licensee,College/university,San Diego,California,No,11,26,26,54,Female,White,No,CA,136.2,Producer
1135,VP of News,99000.00,No,Radio station,Community/independent nonprofit,Cincinnati,Ohio,No,15.5,15.5,40,59,Female,White,No,OH,92.4,Executive Officer
1136,Director/General Manager,98449.00,No,Radio station,College/university,Knoxville,Tennessee,No,26,26,40,62,Female,White,No,TN,91.6,Manager
1137,Managing Editor For Science and Environment,98000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,3,10,10,57,Male,White,No,OR,116.5,Editor
1138,Director Fundraising Programming,97600.00,Yes,National network/organization ,,Arlington,Virginia,No,6,16,28,52,Female,White,No,VA,,Director
1139,Division Finance Manager,97449.00,No,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,2,4.5,4.5,50,Female,White,No,MN,,Manager
1140,Director of Philanthropy,97000.00,No,Radio station,College/university,Tampa,Florida,No,8,8,8,55,Female,White,No,FL,101.4,Director
1141,Executive Producer/Host,96000.00,No,Joint licensee,College/university,Houston,Texas,No,8,8,30,48,Male,White,No,TX,95.8,Host
1142,Managing Editor ,96500.00,Yes,Radio station,College/university,nan,District of Columbia,No,5,5,10,33,Female,White,No,DC,,Editor
1143,Director of Engineering,96000.00,No,Radio station,Community/independent nonprofit,Providence,Rhode Island,No,9,9,19,45,Male,White,No,RI,111.5,Engineer
1144,Instructional Media Coordinator ,96000.00,No,TV station,State,Johnston,Iowa,No,14,14,14,42,Female,White,No,IA,,Manager
1145,Director of Leadership Giving ,96000.00,No,Joint licensee,Community/independent nonprofit,Lewiston,Maine,No,0,0,0,45,Male,Biracial/Multiracial,No,ME,99.7,Director
1146,News Director,95600.00,Yes,Radio station,Community/independent nonprofit,nan,,No,6,6,18,,Male,White,No,,,Director
1147,"Manager, Finance and Administration/CFO",95000.00,No,Radio station,College/university,Kansas City,Missouri,No,7,7,7,68,Female,White,Yes,MO,91.6,Manager
1148,Station Manager,95000.00,No,Radio station,College/university,nan,Illinois,No,7,7,32,54,Male,White,No,IL,,Manager
1149,Director of Marketing,95000.00,No,Radio station,College/university,Detroit,Michigan,No,15,15,27,62,Male,White,No,MI,93.2,Marketing
1150,VP Development,95000.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,22,22,22,67,Female,White,Yes,NY,96.6,Executive Officer
1151,Senior Editor,95000.00,No,Radio station,College/university,Boston,Massachusetts,Yes,3,12,15,36,Female,White,No,MA,132.6,Editor
1152,VP Policy and Advocacy,95000.00,No,Joint licensee,Community/independent nonprofit,Bethlehem,Pennsylvania,No,2.5,2.5,2.5,42,Female,White,No,PA,,Executive Officer
1153,Director of Corporate Support,94754.00,No,Radio station,Community/independent nonprofit,Burlington,Vermont,No,9,9,9,61,Female,White,Yes,VT,112.8,Director
1154,Controller,94360.00,No,TV station,Community/independent nonprofit,Winooski,Vermont,No,3,24,24,53,Male,White,No,VT,,
1155,Senior Social Media Lead,94000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,Yes,3,9.5,20,42,Female,White,No,NY,128,
1156,Director of Member Aquisition,94000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,1,1,10,35,Female,Asian,Yes,OR,116.5,Director
1157,Senior Director of Content,93000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,21,24,46,Female,White,No,MO,89.6,Director
1158,Reporter,93000.00,No,Radio station,Community/independent nonprofit,New York,New York,Yes,7,10.5,13,42,Female,Biracial/Multiracial,No,NY,128,Reporter
1159,Director of Marketing,93000.00,No,Joint licensee,Community/independent nonprofit,Harrisburg,Pennsylvania,No,1,10,10,41,Female,White,No,PA,95.8,Marketing
1160,Manager of Strategic Relationships,92800.00,No,Joint licensee,College/university,Houston,Texas,No,3,3,3,34,Male,White,No,TX,95.8,Manager
1161,"Technical Project Director, Archives",92700.00,Yes,TV station,Community/independent nonprofit,Austin,Texas,No,5.5,5.5,5.5,51,Female,White,Yes,TX,106.6,Director
1162,Investigative Editor,92700.00,No,Joint licensee,College/university,San Diego,California,No,10,2,2,52,Male,White,Yes,CA,136.2,Editor
1163,"Senior Producer, Local Development ",92000.00,No,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,15,36,36,,Female,White,No,MA,132.6,Producer
1164,Senior Health Care Reporter,92000.00,No,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,3,14,15,38,Male,White,Yes,TN,100.1,Reporter
1165,Director of Education,92000.00,No,TV station,College/university,nan,,No,5,8,8,40,Female,White,No,,,Director
1166,Chief Operating Officer,91915.00,No,Radio station,Community/independent nonprofit,Portland,Oregon,No,3,3,3,43,Male,White,No,OR,116.5,Executive Officer
1167,Director of Corporate Relations,91500.00,No,Joint licensee,State,Kansas City,Missouri,No,5,5,5,56,Female,White,No,MO,91.6,Director
1168,Senior Director of Organizational Excellence,91008.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,2,2,49,Female,White,No,MO,89.6,Director
1169,Executive Director,91000.00,Yes,Radio station,Community/independent nonprofit,St. Louis,Missouri,No,6,8,8,45,Female,White,No,MO,89.6,Director
1170,Director of Corporate Support and Foundation Giving (Underwriting),90500.00,No,Joint licensee,College/university,Columbus,Ohio,No,16,16,21,50,Female,White,Yes,OH,93.9,Director
1171,Finance Director,90000.00,No,National network/organization ,,Juneau,Alaska,No,30,30,30,61,Female,White,Yes,AK,,Director
1172,Associate Director of Direct Response Fundraising,90000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,No,1,6,6,30,Female,White,No,CA,178.6,Director
1173,Director of Development,90000.00,No,Joint licensee,Community/independent nonprofit,Rohnert Park,California,No,1,1,1,64,Female,White,No,CA,,Director
1174,VP Broadcast Services,89000.00,No,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,4,4,35,59,Female,White,No,NY,97.3,Executive Officer
1175,"Director, Pledge and Special Promotions",89000.00,No,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,1,29,33,52,Female,White,No,CT,104.8,Director
1176,Membership Director,89000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,5,7,17,46,Male,White,Yes,CO,112.1,Director
1177,Executive Editor (News Director),88000.00,,Radio station,College/university,St. Louis,Missouri,No,5,7,20,53,Female,White,No,MO,89.6,Editor
1178,"Director, On Air Fundraising",88000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,17,17,17,56,Female,White,No,TX,98.5,Director
1179,News Director,88000.00,No,Radio station,College/university,Tampa,Florida,No,5.5,7.5,7.5,54,Female,White,No,FL,101.4,Director
1180,Senior Reporter,88000.00,Yes,Radio station,,Los Angeles,California,Yes,15,5,5,36,Female,White,No,CA,140.6,Reporter
1181,Director of Advancement,88000.00,No,TV station,Community/independent nonprofit,Los Angeles,California,,3,3,4,60,Female,White,No,CA,140.6,Director
1182,Midday Host,87000.00,Yes,Joint licensee,School board,Atlanta,Georgia,No,6,14,22,51,Female,Black or African American,Yes,GA,100.3,Host
1183,Chief Engineer,87000.00,No,Radio station,College/university,Tampa,Florida,No,3,5,5,56,Male,White,No,FL,101.4,Engineer
